"HCQ240.Code.or.Value","HCQ240.Value.Description","HCQ240.Count","HCQ240.Cumulative","HCQ240.Skip.to.Item"
"1","True",35,35,NA
"2","False",1,36,NA
"7","Refused",1,37,NA
"9","Don't know",3,40,NA
".","Missing",47,87,NA
