"RHQ060.Code.or.Value","RHQ060.Value.Description","RHQ060.Count","RHQ060.Cumulative","RHQ060.Skip.to.Item"
"15 to 65","Range of Values",1370,1370,NA
"777","Refused",0,1370,NA
"999","Don't know",53,1423,NA
".","Missing",2195,3618,NA
