"PHQ060.Code.or.Value","PHQ060.Value.Description","PHQ060.Count","PHQ060.Cumulative","PHQ060.Skip.to.Item"
"1","Yes",17,17,NA
"2","No",9541,9558,NA
".","Missing",277,9835,NA
