"OSD030aa.Code.or.Value","OSD030aa.Value.Description","OSD030aa.Count","OSD030aa.Cumulative","OSD030aa.Skip.to.Item"
"1 to 79","Range of Values",78,78,NA
"80","80 or older",12,90,NA
"77777","Refused",0,90,NA
"99999","Don't know",0,90,NA
".","Missing",6128,6218,NA
