"DR1TFDFE.Code.or.Value","DR1TFDFE.Value.Description","DR1TFDFE.Count","DR1TFDFE.Cumulative","DR1TFDFE.Skip.to.Item"
"0 to 6527","Range of Values",9169,9169,NA
".","Missing",781,9950,NA
