"DXXRAA.Code.or.Value","DXXRAA.Value.Description","DXXRAA.Count","DXXRAA.Cumulative","DXXRAA.Skip.to.Item"
"75.48 to 386.5","Range of Values",4684,4684,NA
".","Missing",1008,5692,NA
