"DS1TPFAT.Code.or.Value","DS1TPFAT.Value.Description","DS1TPFAT.Count","DS1TPFAT.Cumulative","DS1TPFAT.Skip.to.Item"
"0.1 to 20","Range of Values",237,237,NA
".","Missing",10016,10253,NA
