"AUXU2KR.Code.or.Value","AUXU2KR.Value.Description","AUXU2KR.Count","AUXU2KR.Cumulative","AUXU2KR.Skip.to.Item"
"-10 to 120","Range of Values",3849,3849,NA
"666","No response",2,3851,NA
"888","Could not obtain",18,3869,NA
".","Missing",631,4500,NA
