"AUXRR175.Code.or.Value","AUXRR175.Value.Description","AUXRR175.Count","AUXRR175.Cumulative","AUXRR175.Skip.to.Item"
"-23 to 117","Range of Values",3836,3836,NA
".","Missing",664,4500,NA
