"BIXS028K.Code.or.Value","BIXS028K.Value.Description","BIXS028K.Count","BIXS028K.Cumulative","BIXS028K.Skip.to.Item"
"206.52 to 1020.99","Range of Values",4709,4709,NA
".","Missing",1240,5949,NA
