"ALQ120Q.Code.or.Value","ALQ120Q.Value.Description","ALQ120Q.Count","ALQ120Q.Cumulative","ALQ120Q.Skip.to.Item"
"0 to 365","Range of Values",3675,3675,NA
"777","Refused",0,3675,NA
"999","Don't know",4,3679,NA
".","Missing",1063,4742,NA
