"LBXEOPCT.Code.or.Value","LBXEOPCT.Value.Description","LBXEOPCT.Count","LBXEOPCT.Cumulative","LBXEOPCT.Skip.to.Item"
"0.1 to 57.2","Range of Values",7949,7949,NA
".","Missing",883,8832,NA
