"SSBR8.Code.or.Value","SSBR8.Value.Description","SSBR8.Count","SSBR8.Cumulative","SSBR8.Skip.to.Item"
"0.4 to 9.5","Range of Values",78,78,NA
".","Missing",0,78,NA
