"BPXSY3.Code.or.Value","BPXSY3.Value.Description","BPXSY3.Count","BPXSY3.Cumulative","BPXSY3.Skip.to.Item"
"74 to 232","Range of Values",6256,6256,NA
".","Missing",3026,9282,NA
