"DR2TPHOS.Code.or.Value","DR2TPHOS.Value.Description","DR2TPHOS.Count","DR2TPHOS.Cumulative","DR2TPHOS.Skip.to.Item"
"0 to 6126","Range of Values",6875,6875,NA
".","Missing",2669,9544,NA
