"AUXLOEXC.Code.or.Value","AUXLOEXC.Value.Description","AUXLOEXC.Count","AUXLOEXC.Cumulative","AUXLOEXC.Skip.to.Item"
"1","Yes (checkbox checked)",370,370,NA
"2","No (checkbox unchecked)",1859,2229,NA
".","Missing",139,2368,NA
