"ARQ021BG.Code.or.Value","ARQ021BG.Value.Description","ARQ021BG.Count","ARQ021BG.Cumulative","ARQ021BG.Skip.to.Item"
"2","aching,",34,34,NA
".","Missing",5072,5106,NA
