"CIQP13C.Code.or.Value","CIQP13C.Value.Description","CIQP13C.Count","CIQP13C.Cumulative","CIQP13C.Skip.to.Item"
"1","Yes",51,51,NA
"2","No",46,97,NA
"7","Refused",0,97,NA
"9","Don't know",2,99,NA
".","Missing",679,778,NA
