"URDTNE3.Code.or.Value","URDTNE3.Value.Description","URDTNE3.Count","URDTNE3.Cumulative","URDTNE3.Skip.to.Item"
"0.2694 to 401.2","Range of Values",977,977,NA
".","Missing",1485,2462,NA
