"DR1IVB1.Code.or.Value","DR1IVB1.Value.Description","DR1IVB1.Count","DR1IVB1.Cumulative","DR1IVB1.Skip.to.Item"
"0 to 5.759","Range of Values",130285,130285,NA
".","Missing",879,131164,NA
