"PUD072.Code.or.Value","PUD072.Value.Description","PUD072.Count","PUD072.Cumulative","PUD072.Skip.to.Item"
"1","One time only",774,774,NA
"2","Two or more times",329,1103,NA
".","Missing",8862,9965,NA
