"VIQ211.Code.or.Value","VIQ211.Value.Description","VIQ211.Count","VIQ211.Cumulative","VIQ211.Skip.to.Item"
"1","Right",74,74,NA
"2","Left",50,124,NA
"3","Both",300,424,NA
"9","Don't know",1,425,NA
".","Missing",6565,6990,NA
