"LBDLDL.Code.or.Value","LBDLDL.Value.Description","LBDLDL.Count","LBDLDL.Cumulative","LBDLDL.Skip.to.Item"
"9 to 331","Range of Values",2942,2942,NA
".","Missing",297,3239,NA
