"LBXVOX.Code.or.Value","LBXVOX.Value.Description","LBXVOX.Count","LBXVOX.Cumulative","LBXVOX.Skip.to.Item"
"0.017 to 1.5","Range of Values",1365,1365,NA
".","Missing",124,1489,NA
