"LBXODTLA.Code.or.Value","LBXODTLA.Value.Description","LBXODTLA.Count","LBXODTLA.Cumulative","LBXODTLA.Skip.to.Item"
"0.7 to 194","Range of Values",2279,2279,NA
".","Missing",268,2547,NA
