"SDMVSTRA.Code.or.Value","SDMVSTRA.Value.Description","SDMVSTRA.Count","SDMVSTRA.Cumulative","SDMVSTRA.Skip.to.Item"
"104 to 118","Range of Values",10175,10175,NA
".","Missing",0,10175,NA
