"LBDPFDEL.Code.or.Value","LBDPFDEL.Value.Description","LBDPFDEL.Count","LBDPFDEL.Cumulative","LBDPFDEL.Skip.to.Item"
"0","At or above the detection limit",1624,1624,NA
"1","Below lower detection limit",496,2120,NA
".","Missing",203,2323,NA
