"DS2TKCAL.Code.or.Value","DS2TKCAL.Value.Description","DS2TKCAL.Count","DS2TKCAL.Cumulative","DS2TKCAL.Skip.to.Item"
"0.2 to 379.5","Range of Values",906,906,NA
".","Missing",8856,9762,NA
