"LBDIHGSI.Code.or.Value","LBDIHGSI.Value.Description","LBDIHGSI.Count","LBDIHGSI.Cumulative","LBDIHGSI.Skip.to.Item"
"1.5 to 55.89","Range of Values",2391,2391,NA
".","Missing",6441,8832,NA
