"VTQ280E.Code.or.Value","VTQ280E.Value.Description","VTQ280E.Count","VTQ280E.Cumulative","VTQ280E.Skip.to.Item"
"1","Yes",114,114,NA
"2","No",3125,3239,NA
"7","Refused",0,3239,NA
"9","Don't know",1,3240,NA
".","Missing",305,3545,NA
