"DSQTVK.Code.or.Value","DSQTVK.Value.Description","DSQTVK.Count","DSQTVK.Cumulative","DSQTVK.Skip.to.Item"
"0.3 to 1066.7","Range of Values",1534,1534,NA
".","Missing",9003,10537,NA
