"DR1IFDFE.Code.or.Value","DR1IFDFE.Value.Description","DR1IFDFE.Count","DR1IFDFE.Cumulative","DR1IFDFE.Skip.to.Item"
"0 to 6033","Range of Values",145826,145826,NA
".","Missing",1114,146940,NA
