"CBD625.Code.or.Value","CBD625.Value.Description","CBD625.Count","CBD625.Cumulative","CBD625.Skip.to.Item"
"0 to 12","Range of Values",3223,3223,NA
"77777777","Refused",0,3223,NA
"99999999","Don't know",207,3430,NA
".","Missing",2592,6022,NA
