"DRD350J.Code.or.Value","DRD350J.Value.Description","DRD350J.Count","DRD350J.Cumulative","DRD350J.Skip.to.Item"
"1","Yes",33,33,""
"2","No",3300,3333,"DRD350K"
".","Missing",5949,9282,""
