"LBXIGG.Code.or.Value","LBXIGG.Value.Description","LBXIGG.Count","LBXIGG.Cumulative","LBXIGG.Skip.to.Item"
"1","positive",192,192,NA
"2","negative",506,698,NA
"3","indeterminate",1,699,NA
".","Missing",436,1135,NA
