"FSQ162.Code.or.Value","FSQ162.Value.Description","FSQ162.Count","FSQ162.Cumulative","FSQ162.Skip.to.Item"
"1","Yes",1791,1791,NA
"2","No",6463,8254,NA
"7","Refused",2,8256,NA
"9","Don't know",10,8266,NA
".","Missing",1909,10175,NA
