"SLQ070C.Code.or.Value","SLQ070C.Value.Description","SLQ070C.Count","SLQ070C.Cumulative","SLQ070C.Skip.to.Item"
"3","Restless Legs",25,25,NA
".","Missing",6114,6139,NA
