"MCQ260BF.Code.or.Value","MCQ260BF.Value.Description","MCQ260BF.Count","MCQ260BF.Cumulative","MCQ260BF.Skip.to.Item"
"6","Father's father",28,28,"MCQ250C"
".","Missing",9465,9493,""
