"CBD160.Code.or.Value","CBD160.Value.Description","CBD160.Count","CBD160.Cumulative","CBD160.Skip.to.Item"
"0 to 30","Range of Values",10010,10010,NA
"777","Refused",10,10020,NA
"999","Don't know",6,10026,NA
".","Missing",123,10149,NA
