"LBXVCT.Code.or.Value","LBXVCT.Value.Description","LBXVCT.Count","LBXVCT.Cumulative","LBXVCT.Skip.to.Item"
"0.004 to 0.018","Range of Values",2994,2994,NA
".","Missing",272,3266,NA
