"SSGII3OM.Code.or.Value","SSGII3OM.Value.Description","SSGII3OM.Count","SSGII3OM.Cumulative","SSGII3OM.Skip.to.Item"
"0 to 3.5","Range of Values",946,946,NA
".","Missing",0,946,NA
