"LBXBMN.Code.or.Value","LBXBMN.Value.Description","LBXBMN.Count","LBXBMN.Cumulative","LBXBMN.Skip.to.Item"
"2.21 to 100.41","Range of Values",4987,4987,NA
".","Missing",828,5815,NA
