"LBX128LA.Code.or.Value","LBX128LA.Value.Description","LBX128LA.Count","LBX128LA.Cumulative","LBX128LA.Skip.to.Item"
"0.4 to 22.5","Range of Values",2298,2298,NA
".","Missing",249,2547,NA
