"DR2IMAGN.Code.or.Value","DR2IMAGN.Value.Description","DR2IMAGN.Count","DR2IMAGN.Cumulative","DR2IMAGN.Skip.to.Item"
"0 to 761","Range of Values",99780,99780,NA
".","Missing",900,100680,NA
