"DSQIIODI.Code.or.Value","DSQIIODI.Value.Description","DSQIIODI.Count","DSQIIODI.Cumulative","DSQIIODI.Skip.to.Item"
"3.75 to 37500","Range of Values",1944,1944,NA
".","Missing",7615,9559,NA
