"LBDSTBSI.Code.or.Value","LBDSTBSI.Value.Description","LBDSTBSI.Count","LBDSTBSI.Cumulative","LBDSTBSI.Skip.to.Item"
"3.42 to 124.83","Range of Values",6855,6855,NA
".","Missing",514,7369,NA
