"DSDCOUNT.Code.or.Value","DSDCOUNT.Value.Description","DSDCOUNT.Count","DSDCOUNT.Cumulative","DSDCOUNT.Skip.to.Item"
"0 to 20","Range of Values",9246,9246,NA
"77","Refused",3,9249,NA
"99","Don't know",5,9254,NA
".","Missing",0,9254,NA
