"LBD180LC.Code.or.Value","LBD180LC.Value.Description","LBD180LC.Count","LBD180LC.Cumulative","LBD180LC.Skip.to.Item"
"0","At or above the detection limit",1881,1881,NA
"1","Below lower detection limit",15,1896,NA
".","Missing",389,2285,NA
