"LBCF04LA.Code.or.Value","LBCF04LA.Value.Description","LBCF04LA.Count","LBCF04LA.Cumulative","LBCF04LA.Skip.to.Item"
"0.0899 to 12.4","Range of Values",246,246,NA
".","Missing",1,247,NA
