"LBXEMA.Code.or.Value","LBXEMA.Value.Description","LBXEMA.Count","LBXEMA.Cumulative","LBXEMA.Skip.to.Item"
"1","Positive",28,28,NA
"2","Negative",19,47,NA
"3","Weakly positive",2,49,NA
".","Missing",8542,8591,NA
