"TYXP233.Code.or.Value","TYXP233.Value.Description","TYXP233.Count","TYXP233.Cumulative","TYXP233.Skip.to.Item"
"-297 to -28","Range of Values",218,218,NA
".","Missing",8251,8469,NA
