"CIQG28.Code.or.Value","CIQG28.Value.Description","CIQG28.Count","CIQG28.Cumulative","CIQG28.Skip.to.Item"
"0 to 28","Range of Values",30,30,NA
"77","Refused",0,30,NA
"99","Don't know",2,32,NA
".","Missing",746,778,NA
