"SMQ690D.Code.or.Value","SMQ690D.Value.Description","SMQ690D.Count","SMQ690D.Cumulative","SMQ690D.Skip.to.Item"
"4","Chewing tobacco",64,64,NA
".","Missing",6916,6980,NA
