"WBXP001.Code.or.Value","WBXP001.Value.Description","WBXP001.Count","WBXP001.Cumulative","WBXP001.Skip.to.Item"
"-44.4602 to 149.0756","Range of Values",5671,5671,NA
".","Missing",11,5682,NA
