"DR2TP204.Code.or.Value","DR2TP204.Value.Description","DR2TP204.Count","DR2TP204.Cumulative","DR2TP204.Skip.to.Item"
"0 to 3.18","Range of Values",7496,7496,NA
".","Missing",1842,9338,NA
