"CIQG17G.Code.or.Value","CIQG17G.Value.Description","CIQG17G.Count","CIQG17G.Cumulative","CIQG17G.Skip.to.Item"
"1","Yes",50,50,NA
"2","No",30,80,NA
"7","Refused",0,80,NA
"9","Don't know",0,80,NA
".","Missing",848,928,NA
