"LBC180LA.Code.or.Value","LBC180LA.Value.Description","LBC180LA.Count","LBC180LA.Cumulative","LBC180LA.Skip.to.Item"
"0.5859 to 101.3","Range of Values",284,284,NA
".","Missing",0,284,NA
