"AUXR3KR.Code.or.Value","AUXR3KR.Value.Description","AUXR3KR.Count","AUXR3KR.Cumulative","AUXR3KR.Skip.to.Item"
"50 to 105","Range of Values",9,9,NA
"666","No response",0,9,NA
"888","Could not obtain",0,9,NA
".","Missing",2037,2046,NA
