"PHQ050.Code.or.Value","PHQ050.Value.Description","PHQ050.Count","PHQ050.Cumulative","PHQ050.Skip.to.Item"
"1","Yes",39,39,NA
"2","No",9441,9480,NA
".","Missing",449,9929,NA
