"ECD010.Code.or.Value","ECD010.Value.Description","ECD010.Count","ECD010.Cumulative","ECD010.Skip.to.Item"
"15 to 44","Range of Values",3518,3518,NA
"14","14 years or younger",15,3533,NA
"45","45 years or older",6,3539,NA
"7777","Refused",5,3544,NA
"9999","Don't know",37,3581,NA
".","Missing",0,3581,NA
