"LBXSBU.Code.or.Value","LBXSBU.Value.Description","LBXSBU.Count","LBXSBU.Cumulative","LBXSBU.Skip.to.Item"
"2 to 95","Range of Values",5975,5975,NA
".","Missing",574,6549,NA
