"WHD120.Code.or.Value","WHD120.Value.Description","WHD120.Count","WHD120.Cumulative","WHD120.Skip.to.Item"
"75 to 450","Range of Values",4949,4949,NA
"7777","Refused",1,4950,NA
"9999","Don't know",231,5181,NA
".","Missing",1365,6546,NA
