"VIXKLD2.Code.or.Value","VIXKLD2.Value.Description","VIXKLD2.Count","VIXKLD2.Cumulative","VIXKLD2.Skip.to.Item"
"37.5 to 60.75","Range of Values",6451,6451,NA
"88","Could not obtain",42,6493,NA
".","Missing",497,6990,NA
