"PAQ724cm.Code.or.Value","PAQ724cm.Value.Description","PAQ724cm.Count","PAQ724cm.Cumulative","PAQ724cm.Skip.to.Item"
"91","OTHER (SPECIFY)",49,49,NA
".","Missing",9206,9255,NA
